image_id,predicted_count,actual_count,count_error,fdr,fnr,f1
img000_20201027_Kaizu_TCA422_515x515,25,26,-0.038461538461538464,0.0,0.038461538461538464,0.9803921568627451
img002_20201027_Kaizu_TCA422_515x515,23,25,-0.08,0.0,0.08,0.9583333333333334
img003_20201027_Kaizu_TCA422_515x515,28,28,0.0,0.0,0.0,1.0
img004_20201027_Kaizu_TCA422_515x515,25,24,0.041666666666666664,0.04,0.0,0.9795918367346939
img005_20201027_Kaizu_TCA422_515x515,22,22,0.0,0.0,0.0,1.0
img006_20201027_Kaizu_TCA422_515x515,28,29,-0.034482758620689655,0.0,0.034482758620689655,0.9824561403508771
img007_20201027_Kaizu_TCA422_515x515,29,29,0.0,0.0,0.0,1.0
img008_20201027_Kaizu_TCA422_515x515,27,27,0.0,0.0,0.0,1.0
img011_20201027_Kaizu_TCA422_515x515,28,28,0.0,0.0,0.0,1.0
img012_20201027_Kaizu_TCA422_515x515,27,27,0.0,0.0,0.0,1.0
img013_20201027_Kaizu_TCA422_515x515,25,25,0.0,0.04,0.04,0.96
img014_20201027_Kaizu_TCA422_515x515,27,26,0.038461538461538464,0.037037037037037035,0.0,0.9811320754716981
img016_20201027_Kaizu_TCA422_515x515,25,24,0.041666666666666664,0.04,0.0,0.9795918367346939
img017_20201027_Kaizu_TCA422_515x515,29,30,-0.03333333333333333,0.0,0.03333333333333333,0.9830508474576272
img018_20201027_Kaizu_TCA422_515x515,27,27,0.0,0.0,0.0,1.0
img021_20201027_Kaizu_TCA422_515x515,27,26,0.038461538461538464,0.037037037037037035,0.0,0.9811320754716981
img022_20201027_Kaizu_TCA422_515x515,25,24,0.041666666666666664,0.04,0.0,0.9795918367346939
img023_20201027_Kaizu_TCA422_515x515,16,15,0.06666666666666667,0.0625,0.0,0.967741935483871
img024_20201027_Kaizu_TCA422_515x515,28,28,0.0,0.0,0.0,1.0
img025_20201027_Kaizu_TCA422_515x515,28,27,0.037037037037037035,0.03571428571428571,0.0,0.9818181818181818
img030_20201027_Kaizu_TCA422_515x515,24,23,0.043478260869565216,0.08333333333333333,0.043478260869565216,0.9361702127659575
img031_20201027_Kaizu_TCA422_515x515,20,19,0.05263157894736842,0.05,0.0,0.9743589743589743
img032_20201027_Kaizu_OkinaSP_515x515,27,27,0.0,0.0,0.0,1.0
img033_20201027_Kaizu_TCA422_515x515,25,26,-0.038461538461538464,0.0,0.038461538461538464,0.9803921568627451
img034_20201027_Kaizu_TCA422_515x515,31,30,0.03333333333333333,0.03225806451612903,0.0,0.9836065573770492
img036_20201027_Kaizu_TCA422_515x515,21,21,0.0,0.0,0.0,1.0
img037_20201027_Kaizu_OkinaSP_515x515,27,27,0.0,0.0,0.0,1.0
img038_20201027_Kaizu_OkinaSP_515x515,30,30,0.0,0.0,0.0,1.0
img040_20201027_Kaizu_OkinaSP_515x515,29,29,0.0,0.0,0.0,1.0
img042_20201027_Kaizu_TCA422_515x515,17,17,0.0,0.0,0.0,1.0
img044_20201027_Kaizu_OkinaSP_515x515,26,24,0.08333333333333333,0.07692307692307693,0.0,0.96
img047_20201027_Kaizu_OkinaSP_515x515,25,24,0.041666666666666664,0.04,0.0,0.9795918367346939
img048_20201027_Kaizu_OkinaSP_515x515,28,25,0.12,0.10714285714285714,0.0,0.9433962264150944
img049_20201027_Kaizu_OkinaSP_515x515,28,26,0.07692307692307693,0.07142857142857142,0.0,0.9629629629629629
img050_20201027_Kaizu_OkinaSP_515x515,27,24,0.125,0.1111111111111111,0.0,0.9411764705882353
img052_20201027_Kaizu_OkinaSP_515x515,25,25,0.0,0.0,0.0,1.0
img053_20201027_Kaizu_OkinaSP_515x515,28,28,0.0,0.03571428571428571,0.03571428571428571,0.9642857142857143
img054_20201027_Kaizu_OkinaSP_515x515,28,26,0.07692307692307693,0.07142857142857142,0.0,0.9629629629629629
img055_20201027_Kaizu_OkinaSP_515x515,28,29,-0.034482758620689655,0.0,0.034482758620689655,0.9824561403508771
img057_20201027_Kaizu_OkinaSP_515x515,28,27,0.037037037037037035,0.03571428571428571,0.0,0.9818181818181818
img059_20201027_Kaizu_OkinaSP_515x515,12,13,-0.07692307692307693,0.0,0.07692307692307693,0.96
img060_20201027_Kaizu_TCA422_515x515,27,26,0.038461538461538464,0.07407407407407407,0.038461538461538464,0.9433962264150944
img063_20201027_Kaizu_TCA422_515x515,29,29,0.0,0.0,0.0,1.0
img064_20201027_Kaizu_TCA422_515x515,32,30,0.06666666666666667,0.0625,0.0,0.967741935483871
img066_20201027_Kaizu_TCA422_515x515,31,32,-0.03125,0.0,0.03125,0.9841269841269841
img067_20201027_Kaizu_TCA422_515x515,30,29,0.034482758620689655,0.03333333333333333,0.0,0.9830508474576272
img069_20201027_Kaizu_TCA422_515x515,29,29,0.0,0.06896551724137931,0.06896551724137931,0.9310344827586207
img071_20201027_Kaizu_TCA422_515x515,31,32,-0.03125,0.0,0.03125,0.9841269841269841
img073_20201027_Kaizu_TCA422_515x515,27,25,0.08,0.1111111111111111,0.04,0.9230769230769231
img074_20201027_Kaizu_TCA422_515x515,30,29,0.034482758620689655,0.03333333333333333,0.0,0.9830508474576272
img077_20201027_Kaizu_TCA422_515x515,31,29,0.06896551724137931,0.06451612903225806,0.0,0.9666666666666667
img078_20201027_Kaizu_TCA422_515x515,27,27,0.0,0.0,0.0,1.0
img079_20201027_Kaizu_TCA422_515x515,26,26,0.0,0.0,0.0,1.0
img081_20201027_Kaizu_TCA422_900x900,13,14,-0.07142857142857142,0.0,0.07142857142857142,0.9629629629629629
img082_20201027_Kaizu_TCA422_900x900,69,79,-0.12658227848101267,0.0,0.12658227848101267,0.9324324324324325
img085_20201027_Kaizu_TCA422_900x900,59,65,-0.09230769230769231,0.03389830508474576,0.12307692307692308,0.9193548387096774
img086_20201027_Kaizu_TCA422_900x900,9,9,0.0,0.1111111111111111,0.1111111111111111,0.8888888888888888
img087_20201027_Kaizu_TCA422_900x900,52,56,-0.07142857142857142,0.019230769230769232,0.08928571428571429,0.9444444444444444
img088_20201027_Kaizu_TCA422_900x900,65,75,-0.13333333333333333,0.0,0.13333333333333333,0.9285714285714286
img090_20201027_Kaizu_TCA422_900x900,68,77,-0.11688311688311688,0.0,0.11688311688311688,0.9379310344827586
img094_20201027_Kaizu_TCA422_900x900,62,60,0.03333333333333333,0.03225806451612903,0.0,0.9836065573770492
img095_20201027_Kaizu_TCA422_900x900,66,76,-0.13157894736842105,0.0,0.13157894736842105,0.9295774647887324
img098_20201027_Kaizu_TCA422_900x900,69,79,-0.12658227848101267,0.0,0.12658227848101267,0.9324324324324325
img099_20201027_Kaizu_TCA422_900x900,66,74,-0.10810810810810811,0.0,0.10810810810810811,0.9428571428571428
img100_20201027_Kaizu_TCA422_900x900,67,74,-0.0945945945945946,0.0,0.0945945945945946,0.950354609929078
img102_20201027_Kaizu_TCA422_900x900,71,78,-0.08974358974358974,0.0,0.08974358974358974,0.9530201342281879
img103_20201027_Kaizu_TCA422_900x900,70,75,-0.06666666666666667,0.0,0.06666666666666667,0.9655172413793104
img104_20201027_Kaizu_TCA422_900x900,64,68,-0.058823529411764705,0.015625,0.07352941176470588,0.9545454545454546
img105_20201027_Kaizu_TCA422_900x900,65,70,-0.07142857142857142,0.0,0.07142857142857142,0.9629629629629629
img106_20201027_Kaizu_TCA422_900x900,73,79,-0.0759493670886076,0.0,0.0759493670886076,0.9605263157894737
img107_20201027_Kaizu_TCA422_900x900,62,66,-0.06060606060606061,0.0,0.06060606060606061,0.96875
img108_20210916_Kaizu_OkinaSP_550x550,14,13,0.07692307692307693,0.07142857142857142,0.0,0.9629629629629629
img109_20210916_Kaizu_OkinaSP_550x550,12,12,0.0,0.0,0.0,1.0
img112_20210916_Kaizu_OkinaSP_550x550,12,12,0.0,0.0,0.0,1.0
img113_20210916_Kaizu_OkinaSP_550x550,11,11,0.0,0.0,0.0,1.0
img114_20210916_Kaizu_OkinaSP_550x550,11,11,0.0,0.0,0.0,1.0
img115_20210916_Kaizu_OkinaSP_550x550,7,7,0.0,0.0,0.0,1.0
img117_20210916_Kaizu_OkinaSP_550x550,10,11,-0.09090909090909091,0.0,0.09090909090909091,0.9523809523809523
img118_20210916_Sunomata_TCA422_550x550,12,12,0.0,0.0,0.0,1.0
img119_20210916_Sunomata_TCA422_550x550,15,15,0.0,0.0,0.0,1.0
img125_20210916_Sunomata_TCA422_550x550,13,13,0.0,0.0,0.0,1.0
img126_20210916_Sunomata_TCA422_550x550,15,14,0.07142857142857142,0.06666666666666667,0.0,0.9655172413793104
img128_20211126_Sunomata_TCA422_550x550,18,18,0.0,0.0,0.0,1.0
img129_20211126_Sunomata_TCA422_550x550,13,13,0.0,0.0,0.0,1.0
img130_20211126_Sunomata_TCA422_550x550,16,16,0.0,0.0,0.0,1.0
img132_20211126_Sunomata_OkinaSP_550x550,17,19,-0.10526315789473684,0.0,0.10526315789473684,0.9444444444444444
img133_20211126_Sunomata_OkinaSP_550x550,12,12,0.0,0.0,0.0,1.0
img136_20211126_Sunomata_TCA422_550x550,15,15,0.0,0.0,0.0,1.0
img137_20211126_Sunomata_TCA422_550x550,14,15,-0.06666666666666667,0.07142857142857142,0.13333333333333333,0.896551724137931
img138_20210907_Kaizu_OkinaSP_1000x1000,5,43,-0.8837209302325582,0.0,0.8837209302325582,0.20833333333333334
img140_20210907_Kaizu_OkinaSP_1000x1000,2,31,-0.9354838709677419,0.0,0.9354838709677419,0.12121212121212122
img141_20210907_Kaizu_OkinaSP_1000x1000,13,53,-0.7547169811320755,0.0,0.7547169811320755,0.3939393939393939
img143_20210907_Yoro_Yumebutai_1000x1000,3,40,-0.925,0.0,0.925,0.13953488372093023
img144_20210907_Yoro_Suiryoku_1000x1000,6,40,-0.85,0.0,0.85,0.2608695652173913
img145_20210907_Yoro_Suiryoku_1000x1000,9,37,-0.7567567567567568,0.1111111111111111,0.7837837837837838,0.34782608695652173
img147_20210907_Yoro_Yumebutai_1000x1000,6,39,-0.8461538461538461,0.0,0.8461538461538461,0.26666666666666666
img148_20210907_Yoro_OkinaSP_1000x1000,7,38,-0.8157894736842105,0.14285714285714285,0.8421052631578947,0.26666666666666666
img149_20210907_Yoro_OkinaSP_1000x1000,10,38,-0.7368421052631579,0.0,0.7368421052631579,0.4166666666666667
img150_20210907_Yoro_OkinaSP_1000x1000,14,41,-0.6585365853658537,0.0,0.6585365853658537,0.509090909090909
img151_20210907_Yoro_OkinaSP_1000x1000,7,38,-0.8157894736842105,0.0,0.8157894736842105,0.3111111111111111
img152_20210907_Yoro_Yumebutai_1000x1000,1,34,-0.9705882352941176,0.0,0.9705882352941176,0.05714285714285714
