epoch,train_loss_mean,val_loss,learning_rate,val_map50,val_map50_95,selection_metric,selection_value,is_best,elapsed_seconds,images_seen,images_trained,images_skipped
1,1.7502743422985076,1.4335919618606567,0.001,0.0,0.0,val_map_50_95,0.0,true,31.137151386588812,320,320,0
2,1.323959195613861,1.2117987473805745,0.001,0.13713947739950028,0.057960036463818636,val_map_50_95,0.057960036463818636,true,44.032972764223814,320,320,0
3,1.1930302679538727,1.156909664471944,0.001,0.34762186656443,0.15513198511312498,val_map_50_95,0.15513198511312498,true,55.075961738824844,320,320,0
4,1.128693437576294,1.1033095518747966,0.001,0.6237499058179812,0.300011000818042,val_map_50_95,0.300011000818042,true,65.32096537575126,320,320,0
5,1.0890030264854431,1.0579346418380737,0.001,0.7828453744860581,0.40329461814883794,val_map_50_95,0.40329461814883794,true,75.33903966471553,320,320,0
6,1.0636375904083253,1.0404362281163533,0.001,0.8357136607609058,0.4384803074481136,val_map_50_95,0.4384803074481136,true,84.78096976131201,320,320,0
7,1.0489686727523804,1.0229586362838745,0.001,0.8393687962965739,0.45601516528255165,val_map_50_95,0.45601516528255165,true,94.74577042460442,320,320,0
8,1.0306781888008119,1.0075805187225342,0.001,0.858736870250725,0.47844702621233864,val_map_50_95,0.47844702621233864,true,105.04824260249734,320,320,0
9,1.0288499742746353,1.014101505279541,0.001,0.8300154344076497,0.45352339189957475,val_map_50_95,0.45352339189957475,false,113.55393425747752,320,320,0
10,1.0162239462137221,0.9970590869585673,0.001,0.8699092886472443,0.48575036516981607,val_map_50_95,0.48575036516981607,true,123.69326993450522,320,320,0
11,1.0079080194234848,0.9899979035059611,0.001,0.8958341770660966,0.5044689550144462,val_map_50_95,0.5044689550144462,true,133.2149262279272,320,320,0
12,1.0014916688203812,0.9791912039120992,0.001,0.9002136587831977,0.51786095684415,val_map_50_95,0.51786095684415,true,142.71093259379268,320,320,0
13,0.9981309294700622,0.9807998140652975,0.001,0.9095557635490288,0.525754734825289,val_map_50_95,0.525754734825289,true,152.8498846963048,320,320,0
14,0.992585900425911,0.972872237364451,0.001,0.9011102930967544,0.5264783224590139,val_map_50_95,0.5264783224590139,true,162.69692607223988,320,320,0
15,0.9912146300077438,0.9737585783004761,0.001,0.8921203877287623,0.5214610151521668,val_map_50_95,0.5214610151521668,false,171.7055753879249,320,320,0
16,0.990470415353775,0.9714401761690775,0.001,0.893727888123579,0.5206789532459838,val_map_50_95,0.5206789532459838,false,180.56015326082706,320,320,0
17,0.9891905039548874,0.9643561442693075,0.001,0.9108286349569398,0.5415088212389528,val_map_50_95,0.5415088212389528,true,190.22388657927513,320,320,0
