epoch,train_loss_mean,val_loss,learning_rate,val_map50,val_map50_95,selection_metric,selection_value,is_best,elapsed_seconds,images_seen,images_trained,images_skipped
1,5.13394,4.6325899999999995,0.00019,0.02454,0.01049,ultralytics_fitness,0.011895,false,6.75688,320,320,0
2,4.78449,4.2526,0.00039,0.11002,0.04595,ultralytics_fitness,0.052357,false,12.8424,320,320,0
3,4.417870000000001,3.97773,0.00059,0.16592,0.07125,ultralytics_fitness,0.08071700000000001,false,18.8306,320,320,0
4,4.03125,3.7397600000000004,0.00079,0.22085,0.10176,ultralytics_fitness,0.11366899999999999,false,24.4747,320,320,0
5,3.67374,3.3762,0.00099,0.43396,0.21549,ultralytics_fitness,0.23733700000000002,false,30.2509,320,320,0
6,3.27243,2.99331,0.001,0.6963,0.35527,ultralytics_fitness,0.389373,false,35.9366,320,320,0
7,2.84928,2.6753,0.001,0.84364,0.43661,ultralytics_fitness,0.477313,false,41.8732,320,320,0
8,2.56865,2.32184,0.001,0.92039,0.51409,ultralytics_fitness,0.5547200000000001,false,47.5867,320,320,0
9,2.28636,2.17037,0.001,0.94772,0.54852,ultralytics_fitness,0.58844,false,53.2257,320,320,0
10,2.12917,2.1521500000000002,0.001,0.95728,0.54752,ultralytics_fitness,0.588496,false,58.8417,320,320,0
11,2.0406299999999997,2.01917,0.001,0.96291,0.57336,ultralytics_fitness,0.612315,false,64.2868,320,320,0
12,1.9981499999999999,2.02742,0.001,0.96308,0.56797,ultralytics_fitness,0.6074809999999999,false,70.1505,320,320,0
13,1.9205,2.02061,0.001,0.96658,0.57144,ultralytics_fitness,0.610954,false,75.6788,320,320,0
14,1.88679,2.00535,0.001,0.97107,0.57432,ultralytics_fitness,0.6139950000000001,false,80.9591,320,320,0
15,1.83685,1.91452,0.001,0.97378,0.59533,ultralytics_fitness,0.633175,false,86.6919,320,320,0
16,1.8268099999999998,2.1035999999999997,0.001,0.97289,0.54862,ultralytics_fitness,0.5910470000000001,false,92.4257,320,320,0
17,1.80471,2.06722,0.001,0.97466,0.55799,ultralytics_fitness,0.5996570000000001,false,97.9099,320,320,0
18,1.77941,1.9883,0.001,0.97638,0.57527,ultralytics_fitness,0.615381,false,103.273,320,320,0
19,1.74177,2.04094,0.001,0.97704,0.56057,ultralytics_fitness,0.602217,false,108.798,320,320,0
20,1.70055,2.1336199999999996,0.001,0.97666,0.54334,ultralytics_fitness,0.5866720000000001,false,114.156,320,320,0
21,1.72319,2.1153099999999996,0.001,0.97788,0.54978,ultralytics_fitness,0.5925900000000001,false,119.651,320,320,0
22,1.6992600000000002,2.04117,0.001,0.97793,0.56896,ultralytics_fitness,0.6098570000000001,false,125.022,320,320,0
23,1.67277,2.1141900000000002,0.001,0.9794,0.55383,ultralytics_fitness,0.596387,false,130.433,320,320,0
24,1.65596,1.8603200000000002,0.001,0.98022,0.60778,ultralytics_fitness,0.645024,false,135.937,320,320,0
25,1.59567,1.70578,0.001,0.98018,0.64455,ultralytics_fitness,0.6781130000000001,false,141.796,320,320,0
26,1.5850100000000003,1.57938,0.001,0.97992,0.67793,ultralytics_fitness,0.708129,false,147.649,320,320,0
27,1.56376,1.70447,0.001,0.9798,0.64649,ultralytics_fitness,0.679821,false,153.518,320,320,0
28,1.60139,1.56184,0.001,0.97913,0.68364,ultralytics_fitness,0.7131890000000001,false,158.947,320,320,0
29,1.5411899999999998,1.4953400000000001,0.001,0.97946,0.70036,ultralytics_fitness,0.72827,false,164.571,320,320,0
30,1.52239,1.6167099999999999,0.001,0.97833,0.66748,ultralytics_fitness,0.6985649999999999,false,170.156,320,320,0
31,1.5126,1.58018,0.001,0.98109,0.67668,ultralytics_fitness,0.707121,false,175.611,320,320,0
32,1.50313,1.5321199999999997,0.001,0.98114,0.688,ultralytics_fitness,0.717314,false,181.035,320,320,0
33,1.47956,1.41193,0.001,0.98095,0.71783,ultralytics_fitness,0.7441420000000001,false,186.69,320,320,0
34,1.47356,1.4100300000000001,0.001,0.98101,0.7229,ultralytics_fitness,0.748711,false,192.487,320,320,0
35,1.4756299999999998,1.389,0.001,0.98077,0.72871,ultralytics_fitness,0.7539159999999999,false,198.211,320,320,0
36,1.5036399999999999,1.3528300000000002,0.001,0.98049,0.73557,ultralytics_fitness,0.760062,false,204.005,320,320,0
37,1.47878,1.34017,0.001,0.98206,0.74037,ultralytics_fitness,0.764539,false,209.694,320,320,0
38,1.4412399999999999,1.3291000000000002,0.001,0.98198,0.74227,ultralytics_fitness,0.7662410000000001,false,215.248,320,320,0
39,1.45395,1.3368499999999999,0.001,0.98129,0.74021,ultralytics_fitness,0.764318,false,220.922,320,320,0
40,1.4407500000000002,1.3686399999999999,0.001,0.98171,0.73036,ultralytics_fitness,0.755495,false,226.423,320,320,0
41,1.4263800000000002,1.4450299999999998,0.001,0.98217,0.71134,ultralytics_fitness,0.7384229999999999,false,231.818,320,320,0
42,1.43367,1.31565,0.001,0.98088,0.74281,ultralytics_fitness,0.7666170000000001,false,237.419,320,320,0
43,1.42682,1.2999100000000001,0.001,0.98123,0.74642,ultralytics_fitness,0.769901,false,243.099,320,320,0
44,1.42123,1.2910300000000001,0.001,0.98186,0.74723,ultralytics_fitness,0.770693,false,248.778,320,320,0
45,1.42711,1.35008,0.001,0.98299,0.73465,ultralytics_fitness,0.759484,false,254.499,320,320,0
46,1.42668,1.35389,0.001,0.98332,0.73228,ultralytics_fitness,0.7573840000000001,false,259.882,320,320,0
47,1.3834300000000002,1.3322,0.001,0.98298,0.73929,ultralytics_fitness,0.763659,false,265.301,320,320,0
48,1.42047,1.3653,0.001,0.98249,0.73328,ultralytics_fitness,0.7582010000000001,false,270.979,320,320,0
49,1.3931900000000002,1.27737,0.001,0.98265,0.75405,ultralytics_fitness,0.7769100000000001,false,276.376,320,320,0
50,1.4139,1.27677,0.001,0.98361,0.75317,ultralytics_fitness,0.7762140000000001,false,282.286,320,320,0
51,1.42399,1.24918,0.001,0.98319,0.76092,ultralytics_fitness,0.7831470000000001,false,287.714,320,320,0
52,1.42001,1.24774,0.001,0.98285,0.75828,ultralytics_fitness,0.780737,false,293.491,320,320,0
53,1.41001,1.24932,0.001,0.98446,0.75674,ultralytics_fitness,0.779512,false,298.884,320,320,0
54,1.38337,1.32067,0.001,0.98448,0.74293,ultralytics_fitness,0.767085,false,304.436,320,320,0
55,1.38597,1.34244,0.001,0.98333,0.7353,ultralytics_fitness,0.760103,false,309.877,320,320,0
56,1.37859,1.27169,0.001,0.98223,0.75433,ultralytics_fitness,0.77712,false,315.251,320,320,0
57,1.36381,1.3261900000000002,0.001,0.98325,0.74013,ultralytics_fitness,0.764442,false,320.775,320,320,0
58,1.39084,1.26545,0.001,0.9837,0.75541,ultralytics_fitness,0.7782390000000001,false,326.11,320,320,0
59,1.3546299999999998,1.23655,0.001,0.98275,0.76292,ultralytics_fitness,0.784903,false,331.488,320,320,0
60,1.34944,1.24773,0.001,0.98316,0.76197,ultralytics_fitness,0.784089,false,337.35,320,320,0
61,1.35615,1.2290900000000002,0.001,0.98435,0.76432,ultralytics_fitness,0.7863230000000001,false,342.828,320,320,0
62,1.37664,1.25728,0.001,0.98424,0.75645,ultralytics_fitness,0.779229,false,348.538,320,320,0
63,1.34608,1.23566,0.001,0.98479,0.76237,ultralytics_fitness,0.784612,false,353.946,320,320,0
64,1.32826,1.21064,0.001,0.98458,0.76782,ultralytics_fitness,0.789496,false,359.381,320,320,0
65,1.36974,1.29286,0.001,0.98478,0.75012,ultralytics_fitness,0.7735860000000001,false,365.24,320,320,0
66,1.3426,1.26901,0.001,0.98507,0.75652,ultralytics_fitness,0.779375,false,370.746,320,320,0
67,1.3440900000000002,1.26798,0.001,0.98461,0.75671,ultralytics_fitness,0.7795000000000001,false,376.247,320,320,0
68,1.33951,1.1978499999999999,0.001,0.98427,0.77324,ultralytics_fitness,0.7943430000000001,false,381.698,320,320,0
69,1.34397,1.2196500000000001,0.001,0.98399,0.76809,ultralytics_fitness,0.78968,false,387.328,320,320,0
70,1.34439,1.22312,0.001,0.9845,0.76619,ultralytics_fitness,0.7880210000000001,false,392.725,320,320,0
71,1.33547,1.21531,0.001,0.9833,0.76853,ultralytics_fitness,0.7900070000000001,false,398.272,320,320,0
72,1.3296999999999999,1.2308299999999999,0.001,0.98338,0.7643,ultralytics_fitness,0.786208,false,403.817,320,320,0
73,1.33982,1.23618,0.001,0.98395,0.76389,ultralytics_fitness,0.785896,false,409.175,320,320,0
74,1.29941,1.19406,0.001,0.9842,0.77344,ultralytics_fitness,0.794516,false,414.577,320,320,0
75,1.3047,1.27536,0.001,0.98518,0.75365,ultralytics_fitness,0.776803,false,420.179,320,320,0
76,1.31647,1.31704,0.001,0.98532,0.74595,ultralytics_fitness,0.769887,false,425.49,320,320,0
77,1.33701,1.24411,0.001,0.98575,0.76234,ultralytics_fitness,0.784681,false,430.899,320,320,0
78,1.31878,1.2181499999999998,0.001,0.98579,0.76799,ultralytics_fitness,0.78977,false,436.566,320,320,0
79,1.29618,1.22839,0.001,0.98563,0.76651,ultralytics_fitness,0.788422,false,442.069,320,320,0
80,1.32162,1.24351,0.001,0.98609,0.76114,ultralytics_fitness,0.7836350000000001,false,447.469,320,320,0
81,1.31695,1.213,0.001,0.98606,0.76835,ultralytics_fitness,0.790121,false,452.899,320,320,0
82,1.3307200000000001,1.2211100000000001,0.001,0.98549,0.76637,ultralytics_fitness,0.788282,false,458.394,320,320,0
83,1.32294,1.18869,0.001,0.98535,0.77509,ultralytics_fitness,0.796116,false,463.772,320,320,0
84,1.30683,1.18332,0.001,0.98474,0.77698,ultralytics_fitness,0.7977560000000001,false,469.562,320,320,0
85,1.3039600000000002,1.18985,0.001,0.98489,0.77823,ultralytics_fitness,0.798896,false,475.262,320,320,0
86,1.29256,1.17835,0.001,0.98438,0.77623,ultralytics_fitness,0.797045,false,480.852,320,320,0
87,1.30507,1.17472,0.001,0.98532,0.77886,ultralytics_fitness,0.799506,false,486.29,320,320,0
88,1.30951,1.21697,0.001,0.98565,0.76797,ultralytics_fitness,0.789738,false,492.053,320,320,0
89,1.30734,1.17951,0.001,0.98491,0.77801,ultralytics_fitness,0.7987,false,497.444,320,320,0
90,1.29475,1.16901,0.001,0.98439,0.77895,ultralytics_fitness,0.7994940000000001,false,503.056,320,320,0
91,1.30202,1.1782599999999999,0.001,0.98505,0.77624,ultralytics_fitness,0.797121,false,508.844,320,320,0
92,1.2801500000000001,1.17914,0.001,0.98611,0.77645,ultralytics_fitness,0.797416,false,514.281,320,320,0
93,1.28588,1.20991,0.001,0.98673,0.76859,ultralytics_fitness,0.790404,false,519.691,320,320,0
94,1.27724,1.20267,0.001,0.98708,0.77087,ultralytics_fitness,0.7924910000000001,false,525.158,320,320,0
95,1.26722,1.19055,0.001,0.98642,0.77404,ultralytics_fitness,0.7952779999999999,false,530.535,320,320,0
96,1.32031,1.24477,0.001,0.98655,0.75878,ultralytics_fitness,0.7815570000000001,false,536.169,320,320,0
97,1.26853,1.17081,0.001,0.9857,0.7764,ultralytics_fitness,0.7973300000000001,false,541.655,320,320,0
98,1.29419,1.16729,0.001,0.98541,0.77837,ultralytics_fitness,0.7990740000000001,false,547.062,320,320,0
99,1.27654,1.19888,0.001,0.98522,0.77067,ultralytics_fitness,0.792125,false,552.475,320,320,0
100,1.28881,1.1883599999999999,0.001,0.98566,0.7713,ultralytics_fitness,0.792736,false,558.013,320,320,0
101,1.2654,1.18859,0.001,0.98639,0.77418,ultralytics_fitness,0.795401,false,563.437,320,320,0
102,1.2618299999999998,1.16898,0.001,0.98611,0.77776,ultralytics_fitness,0.798595,false,568.872,320,320,0
103,1.26024,1.16292,0.001,0.9855,0.77953,ultralytics_fitness,0.800127,false,574.178,320,320,0
104,1.2502399999999998,1.1878,0.001,0.98537,0.77501,ultralytics_fitness,0.796046,false,579.757,320,320,0
105,1.2607300000000001,1.16147,0.001,0.98597,0.7797,ultralytics_fitness,0.800327,false,585.154,320,320,0
106,1.26152,1.17687,0.001,0.9858,0.77736,ultralytics_fitness,0.798204,false,590.812,320,320,0
107,1.28782,1.18482,0.001,0.98664,0.77393,ultralytics_fitness,0.795201,false,596.443,320,320,0
108,1.2626,1.20617,0.001,0.98601,0.76983,ultralytics_fitness,0.791448,false,601.84,320,320,0
109,1.25102,1.16319,0.001,0.9863,0.77971,ultralytics_fitness,0.800369,false,607.257,320,320,0
110,1.27122,1.16653,0.001,0.98643,0.78201,ultralytics_fitness,0.802452,false,612.842,320,320,0
111,1.24512,1.1733799999999999,0.001,0.9867,0.77942,ultralytics_fitness,0.8001480000000001,false,618.547,320,320,0
112,1.2558900000000002,1.20664,0.001,0.98686,0.76977,ultralytics_fitness,0.791479,false,624.161,320,320,0
113,1.2706799999999998,1.1625299999999998,0.001,0.98604,0.77979,ultralytics_fitness,0.800415,false,629.469,320,320,0
114,1.25235,1.1678799999999998,0.001,0.98574,0.77952,ultralytics_fitness,0.8001419999999999,false,634.925,320,320,0
115,1.29946,1.17865,0.001,0.98654,0.7755,ultralytics_fitness,0.796604,false,640.518,320,320,0
116,1.24655,1.14983,0.001,0.9868,0.78519,ultralytics_fitness,0.805351,false,645.838,320,320,0
